Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
大丈夫(だいじょうぶ)<br>お父さんがついてるんだから,大丈夫[だいじょうぶ]<br>お 父[とう]さんがついてるんだから,大丈夫お父さんがついてるんだから,"<img src=""Spirited_Away_-_ja_-_Jap_544293.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_544016.mp3],"Cứ an tâm, có bố ở đây mà.","괜찮아, 아빠가 있으니까!",放[fàng]心[xīn]吧[ba] 有[yǒu]爸[bà]爸[bà]在[zài] 怕[pà]什[shén]么[me]？[？],別[bié]擔[dān]心[xīn]，[，]有[yǒu]爸[bà]爸[bà]在[zài]，[，]怕[pà]什[shén]麼[me],"Don't worry, you've got Daddy here.",No te preocupes. Papi está contigo.,"No te preocupes, papá está aquí.",ついている： 一緒[いっしょ]にいて 助[たす]ける,,~んだから： 理由[りゆう]・ 安心感[あんしんかん]の 強調[きょうちょう],,友達[ともだち]がついているから 安心[あんしん]だ。,,君[きみ]がいるんだから 大丈夫[だいじょうぶ]。,,[sound:hypertts-37634f4d9c231926cf2bd9369399d216f4ed169a461b1819c12ef38d.mp3],,[sound:hypertts-aebfdd67d5d551e8e2d5e5e42af196763b8ccfc2ea5d0af7e90153a2.mp3],
千尋(ちひろ)も食べな<br>骨(ほね)まで やわらかいよ,千尋[ちひろ]も 食[た]べな<br> 骨[ほね]まで 柔[やわ]らかいよ,千尋も食べな骨まで柔らかいよ,"<img src=""Spirited_Away_-_ja_-_Jap_553678.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_553678.mp3],Con ăn thử đi. Cả xương cũng rất mềm.,너도 먹어 봐!<br>뼈까지 부드러워,千[qiān]寻[xún]也[yě]来[lái]吃[chī] 连[lián]骨[gǔ]头[tou]都[dōu]熟[shú]透[tòu]了[le],千[qiān]尋[xún]也[yě]來[lái]吃[chī]，[，]連[lián]骨[gǔ]頭[tóu]都[dōu]煮[zhǔ]軟[ruǎn]了[le],"Take some, Chihiro, it's so tender.","Come un poco, Chihiro. Está muy tierno.","Sírvete, Chihiro.<br>Hasta los huesos están tiernos.",骨[ほね]： 体[からだ]を 支[ささ]える 固[かた]い 部分[ぶぶん],やわらかい：かたくなく、 簡単[かんたん]に 曲[ま]がる・ 壊[こわ]れる,~な（ 命令[めいれい]）： 軽[かる]い 命令[めいれい]・ 勧[すす]め,~まで： 範囲[はんい]を 表[あらわ]す,魚[さかな]の 骨[ほね]を 取[と]る。,この 布[ぬの]はやわらかい。,急[いそ]げな。,頭[あたま]の 先[さき]まで 濡[ぬ]れた。,[sound:hypertts-5b7f55f6c6be91da2f55a0ec954817d2a868431857eb758826cfcd84.mp3],[sound:hypertts-56dfe80907da82831a8364611d532a4313e0424341afc6a079612d79.mp3],[sound:hypertts-2733f7dbb19955ade6b861d8ec971ab8193f746118c2ecf8d0b915f1.mp3],[sound:hypertts-3fedf6626593c23a42e8ef9cb4dbf1f6472dd8ca973cd93c2e837efe.mp3]
じきに夜になる<br>その前に早くもどれ,じきに 夜[よる]になる<br>その 前[まえ]に 早[はや]くもどれ,じきに夜になるその前に早くもどれ,"<img src=""Spirited_Away_-_ja_-_Jap_689438.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_689172.mp3],"Em đi về nhanh lên,<br>trước khi trời chuyển tối.","곧 어두워져, 그 전에 돌아가",天[tiān]马[mǎ]上[shàng]就[jiù]要[yào]黑[hēi]了[le] 趁[chèn]天[tiān]黑[hēi]前[qián]快[kuài]回[huí]去[qù],天[tiān]馬[mǎ]上[shàng]就[jiù]要[yào]黑[hēi]了[le]，[，]趁[chèn]天[tiān]黑[hēi]前[qián]快[kuài]回[huí]去[qù],It's almost night!<br>Leave before it gets dark.,¿Qué...?<br>¡Está por anochecer!<br>Vete antes de que oscurezca.,Está oscureciendo.<br>Vete antes de que anochezca.,じきに：まもなく、すぐに,,~になる： 状態[じょうたい]の 変化[へんか],~ 前[まえ]に：ある 時点[じてん]より 先立[さきだ]って,じきに 雨[あめ]が 降[ふ]るだろう。,,春[はる]になる。,寝[ね]る 前[まえ]に 歯[は]を 磨[みが]く。,[sound:hypertts-5caa17f0d4bc886a6983c555c4066cbe3c816175ac17e4dde9447b41.mp3],,[sound:hypertts-29c9faf49e0bf32aaf6685fe900b824ade73bb808018329f1e3718db.mp3],[sound:hypertts-7b1693506a1a192b9dec3edbef64b0eaa9bcc4389f48017758de52a3.mp3]
もう明かりが入った　急いで！,もう 明[あ]かりが 入[はい]った　 急[いそ]いで！,もう明かりが入った急いで,"<img src=""Spirited_Away_-_ja_-_Jap_695069.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_694795.mp3],Họ thắp đèn lên rồi. Nhanh lên!,"벌써 해가 졌어, 서둘러",灯[dēng]亮[liàng]了[le] 快[kuài]一[yì]点[diǎn],燈[dēng]亮[liàng]了[le]，[，]快[kuài]一[yī]點[diǎn],They're lighting the lamps. Go.,Están encendiendo las lámparas. Vete.,Han encendido las lámparas. Vete.,明[あ]かり： 灯[とも]り、 光[ひかり],,~て！： 命令[めいれい]・ 強[つよ]い 指示[しじ],,明[あ]かりをつける。,,走[はし]って！,,[sound:hypertts-52d6d0c63dd46f16a34c13ccf78338cf20eaa0438ddc85d28179b1ac.mp3],,[sound:hypertts-392c76f2e79dee218010b4acd3a265d5f571d3e7e920fbff064a27fc.mp3],
私(わたし)が時間をかせぐ<br>川の向こうへ走れ！,私[わたし]が 時間[じかん]を 稼[かせ]ぐ<br> 川[がわ]の 向[む]こうへ 走[はし]れ！,私が時間を稼ぐ川の向こうへ走れ,"<img src=""Spirited_Away_-_ja_-_Jap_697279.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_697279.mp3],Tôi sẽ kéo dài thời gian.<br>Mau chạy về phía sông!,시간을 벌 테니까<br>강 건너로 뛰어,我[wǒ]来[lái]争[zhēng]取[qǔ]时[shí]间[jiān] 你[nǐ]快[kuài]跑[pǎo]向[xiàng]河[hé]对[duì]岸[àn],我[wǒ]來[lái]爭[zhēng]取[qǔ]時[shí]間[jiān]，[，]妳[nǐ]快[kuài]跑[pǎo]向[xiàng]河[hé]對[duì]岸[àn],I'll distract them.<br>Get back across the river.,Los distraeré. Cruza el río.,Yo los distraigo.<br>¡Corre al otro lado del río!,かせぐ： 努力[どりょく]して 得[え]る,向[む]こう： 相手側[あいてがわ]、 先[さき]の 場所[ばしょ],~へ： 方向[ほうこう]を 表[あらわ]す,~れ（ 命令[めいれい]）： 強[つよ]い 指示[しじ],アルバイトで 学費[がくひ]をかせぐ。,山[やま]の 向[む]こうに 村[むら]がある。,学校[がっこう]へ 行[い]く。,逃[に]げろ！,[sound:hypertts-0e106ccbce7a6e4ab3821772fe55e6e5b1b5b51c711457395c9d56ca.mp3],[sound:hypertts-14ba7e728fc59f0f9d512e4430082523b5d52305cf7d6e0cf09e5181.mp3],[sound:hypertts-822db70a797dc6f1c7d532522fbc7e69db8af19e75351860f850176b.mp3],[sound:hypertts-193c9e6e14ab77e1fbc886e6b01624b7564b9df8a1b4812bd5da40b1.mp3]
さめろ さめろ！<br>さめろ…,覚[さ]めろ 覚[さ]めろ！<br>覚[さ]めろ…,覚めろ覚めろ覚めろ,"<img src=""Spirited_Away_-_ja_-_Jap_813854.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_813854.mp3],Tỉnh lại mau. Mau nào...,깨어나! 일어나야 해!,醒[xǐng]过[guò]来[lái],醒[xǐng]過[guò]來[lái]…[…],Wake up!,¡Despierta!,¡Despierta! ¡Despierta!,さめる： 眠[ねむ]りや 気持[きも]ちが 覚[さ]める,,~ろ（ 命令[めいれい]）： 強[つよ]い 命令[めいれい],,夢[ゆめ]からさめる。,,聞[き]けろ！,,[sound:hypertts-59a69b62cb8d0cb02d30d59252d9c80562eb3f88ba5334f5b2d00332.mp3],,[sound:hypertts-19273d0c6fac41b6fb065a9e3428f5a01cba0e2160a050067a8a93c9.mp3],
こわがるな<br>私(わたし)は そなたの味方だ,怖[こわ]がるな<br> 私[わたし]はそなたの 味方[みかた]だ,怖がるな私はそなたの味方だ,"<img src=""Spirited_Away_-_ja_-_Jap_899607.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_899607.mp3],Em đừng sợ mà. Tôi đứng về phía em đây mà.,"겁먹지 마, 난 네 편이야",别[bié]害[hài]怕[pà] 我[wǒ]是[shì]来[lái]帮[bāng]你[nǐ]的[de],別[bié]害[hài]怕[pà]，[，]我[wǒ]是[shì]來[lái]幫[bāng]妳[nǐ]的[de],"Don't be afraid, I'm a friend.",No tengas miedo. Soy tu amigo.,"No te asustes, estoy de tu parte.",こわがる： 怖[こわ]いと 感[かん]じる,味方[みかた]： 助[たす]ける 人[ひと],~な（ 禁止[きんし]）：してはいけない,~だ： 断定[だんてい],子供[こども]が 犬[いぬ]をこわがる。,彼[かれ]は 私[わたし]の 味方[みかた]だ。,泣[な]くな。,彼[かれ]は 先生[せんせい]だ。,[sound:hypertts-707fc0ae7c016b1a26f11a07534fa405f7e1e220efc8ec2a0c13beb7.mp3],[sound:hypertts-16039c237933947cafb1ad3f116a5305a83bef384e8b7137e2e51e8b.mp3],[sound:hypertts-9acbfd603bb7a7f7cc9b332715d1d066ee3f128e21a2e11acd40b098.mp3],[sound:hypertts-ef69e5f620fc4c8290440e3b788be95771a3fa4954157b4ce5771f09.mp3]
落ち着いて<br>深く息を吸(す)ってごらん,落ち着[おちつ]いて<br> 深[ふか]く 息[いき]を 吸[す]ってごらん,落ち着いて深く息を吸ってごらん,"<img src=""Spirited_Away_-_ja_-_Jap_983232.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_983007.mp3],Bình tĩnh nào. Hít thật sâu vào nhé.,"침착해 봐, 숨을 깊게 쉬어",冷[lěng]静[jìng]点[diǎn] 深[shēn]呼[hū]吸[xī],冷[lěng]靜[jìng]點[diǎn]，[，]深[shēn]呼[hū]吸[xī]看[kàn]看[kàn],"Calm, now. Take a deep breath.",Tranquila. Respira hondo.,Tranquila. Prueba a respirar hondo.,落ち着[おちつ]く： 慌[あわ]てず 冷静[れいせい]になる,吸[す]う： 空気[くうき]や 液体[えきたい]を 取り入[とりい]れる,~て： 順接[じゅんせつ]・ 並列[へいれつ],~てごらん： 勧[すす]め・ 軽[かる]い 命令[めいれい],深呼吸[しんこきゅう]して 落ち着[おちつ]いた。,タバコを 吸[す]う。,窓[まど]を 開[あ]けて 出[で]かける。,これを 読[よ]んでごらん。,[sound:hypertts-402c3f236c35c3a9a999c71bea4910d84c1047aa1003d621a58fcbf7.mp3],[sound:hypertts-bacc4a6ae6a974b87786eb2eed0a87480b80d75157cb562bffff0726.mp3],[sound:hypertts-1cd23a650dda5f0884ace44831c5e05baf0f57a6b9f204508b61983c.mp3],[sound:hypertts-edad19e315d82335e99873b0cb33642e75672231f97f23ba04808cd2.mp3]
（ハク）橋を渡(わた)る間<br>息をしてはいけないよ,（ハク） 橋[きょう]を 渡[わた]る 間[ま]<br> 息[いき]をしてはいけないよ,橋を渡る間息をしてはいけないよ,"<img src=""Spirited_Away_-_ja_-_Jap_1037161.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1037161.mp3],"Khi băng qua cầu, em nhớ phải nín thở nhé.",다리를 건널 동안<br>숨 쉬면 안 돼,过[guò]桥[qiáo]时[shí]千[qiān]万[wàn]不[bù]能[néng]呼[hū]吸[xī],過[guò]橋[qiáo]的[de]時[shí]候[hòu]千[qiān]萬[wàn]不[bù]能[néng]呼[hū]吸[xī],Hold your breath<br>while we're on the bridge.,Aguanta la respiración<br>mientras estemos en el puente.,No respires encima del puente.,間[ま]：ある 動作[どうさ]が 続[つづ]く 時間[じかん],渡[わた]る： 一方[いっぽう]から 他方[たほう]へ 移[うつ]る,~ 間[かん]： 動作[どうさ]の 継続[けいぞく] 中[ちゅう],~てはいけない： 禁止[きんし],勉強[べんきょう]している 間[ま]、 静[しず]かにする。,道[みち]を 渡[わた]る。,旅行[りょこう]している 間[ま]、 写真[しゃしん]を 撮[と]った。,ここに 入[はい]ってはいけない。,[sound:hypertts-116b5b6549e2dac4fe4a7fe3a0e58baf2bad196f6f7fe9eee1ebd70d.mp3],[sound:hypertts-4d8613ccc99b215891d34ffe7ae6459f68f6ff9f2a1a7f761a47584f.mp3],[sound:hypertts-529b3327f658119b7b56c45b7cc62fa16f2599f2a40f72e257a4ea9a.mp3],[sound:hypertts-87b543e16c96176bc378326fc551716616c19720a4b3cf95800e39f2.mp3]
ちょっとでも<br>吸(す)ったり吐(は)いたりすると,ちょっとでも<br>吸[す]ったり 吐[は]いたりすると,ちょっとでも吸ったり吐いたりすると,"<img src=""Spirited_Away_-_ja_-_Jap_1041498.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1041160.mp3],"Em chỉ cần thở nhẹ thôi,",조금이라도 숨 쉬면,如[rú]果[guǒ]你[nǐ]稍[shāo]微[wēi]呼[hū]吸[xī]了[le]一[yī]下[xià],如[rú]果[guǒ]妳[nǐ]稍[shāo]微[wēi]呼[hū]吸[xī]一[yī]下[xià],Even a tiny breath,"Si respiras aunque sea un poco,","Hasta el menor suspiro romperá el hechizo,",吐[は]く： 口[くち]から 息[いき]やものを 出[だ]す,,~たり~たりする： 動作[どうさ]の 並列[へいれつ],~と： 条件[じょうけん]・ 結果[けっか],息[いき]を 吐[は]く。,,本[ほん]を 読[よ]んだり 書[か]いたりする。,ボタンを 押[お]すと 電気[でんき]がつく。,[sound:hypertts-59f611188776e956887af9031b765c69f147461b1a67a2922f39ad5d.mp3],,[sound:hypertts-332cfbd020cd7c926b692742540a54c02279cbd8c806d7eb8dc9a1e4.mp3],[sound:hypertts-3435cadf10e7bd26ab4f8f46555569a8170d92a259dd2868f832a359.mp3]
心をしずめて,心[こころ]を 鎮[しず]めて,心を鎮めて,"<img src=""Spirited_Away_-_ja_-_Jap_1053260.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1053260.mp3],Bình tĩnh lại nào.,마음을 가라앉혀,冷[lěng]静[jìng]下[xià]来[lái],鎮[zhèn]定[dìng]心[xīn]神[shén],Be calm.,Tranquila.,Tranquilízate.,しずめる： 落ち着[おちつ]かせる,,~て： 動作[どうさ]の 連続[れんぞく],,音楽[おんがく]で 心[こころ]をしずめる。,,ご 飯[はん]を 食[た]べて 寝[ね]る。,,[sound:hypertts-cc264d398a4ca75d7f8284cab730ecc7016bfad63130781f2d4044a6.mp3],,[sound:hypertts-35680a304af4795eea6031b1de7951ea666953412b1cc5f23b142213.mp3],
所用からのもどりだ,所用[しょよう]からの 戻[もど]りだ,所用からの戻りだ,"<img src=""Spirited_Away_-_ja_-_Jap_1060768.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1060586.mp3],Ta đã xong việc trở về.,일 끝내고 돌아오는 길이다,我[wǒ]办[bàn]事[shì]回[huí]来[lái]了[le],我[wǒ]辦[bàn]事[shì]回[huí]來[lái]了[le],I'm back from my task.,Ya hice mi tarea.,Vuelvo de mi misión.,所用[しょよう]： 用事[ようじ],,~だ： 断定[だんてい],,所用[しょよう]で 外出[がいしゅつ]する。,,これは 本[ほん]だ。,,[sound:hypertts-209de820d2a6ed479e64c8c5809168b1a7f7ef4bfcfbc62a03e8da44.mp3],,[sound:hypertts-9ab57e3cf0e29837f67661f5e2e571f92e6d487134feee3784ca5eb1.mp3],
感づかれたな,感[かん]づかれたな,感づかれたな,"<img src=""Spirited_Away_-_ja_-_Jap_1127167.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1127045.mp3],Họ biết rồi.,인간의 고약한 냄새가 나,有[yǒu]人[rén]类[lèi]的[de]臭[chòu]味[wèi],有[yǒu]人[rén]類[lèi]臭[chòu]味[wèi]…[…],They know you're here.,¡Huelo humanos! Hay hedor a humanos.,¡Apesta a humano!,感[かん]づく： 気[き]づく,,受け身[うけみ]： 動作[どうさ]を 受[う]ける,~な： 感嘆[かんたん]や 確認[かくにん],嘘[うそ]に 感[かん]づいた。,,犬[いぬ]に 追[お]われた。,難[むずか]しいな。,[sound:hypertts-e4d4fe43743d67aa5d058259e066718ee1c788abe563aae337155adc.mp3],,[sound:hypertts-fa1a26ff9dc3c6231fbf44bd30b46d3f2df8cdecdf718dc5f11308a8.mp3],[sound:hypertts-c9f4137065f2267636838cc17585797a1fd4331a5008e59d516bda37.mp3]
私(わたし)が行ってごまかすから<br>そのすきに千尋(ちひろ)は<br>ここを抜(ぬ)け出して…,私[わたし]が 行[おこな]ってごまかすから<br>そのすきに 千尋[ちひろ]は<br>ここを 抜[ぬ]け 出[だ]して…,私が行ってごまかすからそのすきに千尋はここを抜け出して,"<img src=""Spirited_Away_-_ja_-_Jap_1137261.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1136829.mp3],"Tôi sẽ đi đánh lạc hướng.<br>Nhân lúc đó, em hãy rời khỏi đây...",내가 둘러댈게<br>그 사이에 빠져나가<br>내가 둘러댈게<br>그 사이에 빠져나가,我[wǒ]去[qù]挡[dǎng]他[tā]们[men]一[yī]下[xià] 你[nǐ]趁[chèn]机[jī]溜[liū]出[chū]去[qù]<[<br>]b[wǒ]r[qù]>[dǎng]我[tā]去[men]挡[yī]他[xià]们[ ]一[nǐ]下[chèn] 你[liū]趁[chū]机[qù],我[wǒ]去[qù]擋[dǎng]他[tā]們[men]一[yī]下[xià]，[，]妳[nǐ]趁[chèn]機[jī]溜[liū]出[chū]去[qù]<[<br>]b[wǒ]r[qù]>[dǎng]我[tā]去[men]擋[yī]他[xià]們[，]一[nǐ]下[chèn]，[jī]妳[liū]趁[chū]機[qù],"I'll distract them.<br>In the meantime, you escape.","Los distraeré. Mientras tanto, tú escapa.<br>Los distraeré. Mientras tanto, tú escapa.","Mientras yo los distraigo, huye de aquí.<br>Mientras yo los distraigo, huye de aquí.",ごまかす：うまく 隠[かく]す,抜け出[ぬけだ]す： 中[ちゅう]から 抜[ぬ]けて 出[で]る,~から： 理由[りゆう]・ 原因[げんいん],~すきに： 機会[きかい]を 利用[りよう]して,笑[わら]ってごまかす。,部屋[へや]を 抜け出[ぬけだ]す。,雨[あめ]だから 出[で]かけない。,彼[かれ]が 寝[ね]ているすきに 逃[に]げた。,[sound:hypertts-74f8536207654ba8b8a8b3f149fbb05d0e4e59a47aa1e9c82a0a99bd.mp3],[sound:hypertts-ebeda7ecca1e09a35a1ea0be6a5871f01fa0eb57ca40e91e7bff3e63.mp3],[sound:hypertts-a52508f14cc87dc0757469ed3a409ba85928b57aa80b12263113e2c8.mp3],[sound:hypertts-ec8ce620638e9b8abcc7e1d9425e51ce110a0770000ac1aeefbf43c5.mp3]
この世界で生きのびるためには<br>そうするしかないんだ,この 世界[せかい]で 生[い]きのびるためには<br>そうするしかないんだ,この世界で生きのびるためにはそうするしかないんだ,"<img src=""Spirited_Away_-_ja_-_Jap_1143851.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1143567.mp3],Ta buộc phải làm vậy<br>để em có thể sống tiếp ở nơi này.,살아남으려면<br>이렇게 할 수밖에 없어,为[wèi]了[le]在[zài]这[zhè]里[lǐ]生[shēng]存[cún]下[xià]去[qù]<[<br>]b[nǐ]r[zhǐ]>[néng]你[zhè]只[me]能[zuò]这[le],為[wèi]了[le]在[zài]這[zhè]裡[lǐ]生[shēng]存[cún]下[xià]去[qù]，[，]妳[nǐ]只[zhǐ]能[néng]這[zhè]麼[me]做[zuò],"You have no choice,<br>if you want to survive here.",No tienes otra opción<br>si quieres sobrevivir aquí,No tienes elección si quieres sobrevivir,生[い]きのびる： 生き残[いきのこ]る,,~ために： 目的[もくてき],~しかない： 他[た]の 方法[ほうほう]がない,戦争[せんそう]を 生[い]きのびた。,,勉強[べんきょう]するために 図書館[としょかん]へ 行[い]く。,待[ま]つしかない。,[sound:hypertts-a732cb7606f5df74fb9839a7ec7435197fedb8321fccc54dc093d9ff.mp3],,[sound:hypertts-8959d164169d8b4c4675f352b7ec566a291216801bf6301d6bdf19e1.mp3],[sound:hypertts-846ab2de57a8de5b733f2179e7c7415041a388db71f148dc784416df.mp3]
（ハク）騒(さわ)ぎがしずまったら<br>裏(うら)のくぐり戸から出られる,（ハク） 騒[さわ]ぎがしずまったら<br> 裏[うら]のくぐり 戸[ど]から 出[で]られる,騒ぎがしずまったら裏のくぐり戸から出られる,"<img src=""Spirited_Away_-_ja_-_Jap_1154945.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1154543.mp3],"Khi xung quanh hết ồn ào,<br>em hãy thoát ra bằng cửa phía sau,",조용해지면<br>뒤편 쪽문으로 나가서,等[děng]外[wài]面[miàn]安[ān]静[jìng]一[yì]点[diǎn]以[yǐ]后[hòu]<[<br>]b[nǐ]r[cóng]>[hòu]你[miàn]从[de]后[xiǎo]面[mén]的[táo]小[chū]门[qù],等[děng]外[wài]面[miàn]安[ān]靜[jìng]一[yī]點[diǎn]以[yǐ]後[hòu]<[<br>]b[nǐ]r[cóng]>[hòu]妳[miàn]從[de]後[xiǎo]面[mén]的[táo]小[chū]門[qù],"When things quiet down,<br>go out by the back gate.","Cuando todo se calme,<br>sal por la puerta trasera.",Espera a que todo se calme<br>y sal por la puerta de atrás.,騒[さわ]ぎ：さわがしいこと、 事件[じけん],裏[うら]： 反対側[はんたいがわ]、 見[み]えない 側[がわ],~たら： 条件[じょうけん],可能形[かのうけい]： 能力[のうりょく]や 可能[かのう],外[そと]で 騒[さわ]ぎがあった。,家の裏[いえのうら]に 庭[にわ]がある。,雨[あめ]がやんだら 出[で]かける。,泳[およ]げる。,[sound:hypertts-0c049f35a2fa0ad09f42fbc5eeed56067a905ff8abc75825c7ade9c8.mp3],[sound:hypertts-349d530f7794049b9ebad578e438046bfe62d902da6b5817ccae2384.mp3],[sound:hypertts-176c235153a705cba2419567e2d12e77b75d9960de595cf627e2a35b.mp3],[sound:hypertts-67929a7f7351fc88c2b3271276942e5092227da2a0ca70312599297f.mp3]
